#, top floor bottom
0, 600, 100, 100, 8
100, 600, 100, 100, 8
200, 600, 100, 100, 8
300, 600, 100, 100, 8
400, 600, 100, 100, 8
500, 600, 100, 100, 8
600, 600, 100, 100, 8
700, 600, 100, 100, 8
800, 600, 100, 100, 8
900, 600, 100, 100, 8
1000, 600, 100, 100, 8
0, 700, 100, 100, 8
100, 700, 100, 100, 8
200, 700, 100, 100, 8
300, 700, 100, 100, 8
400, 700, 100, 100, 8
500, 700, 100, 100, 8
600, 700, 100, 100, 8
700, 700, 100, 100, 8
800, 700, 100, 100, 8
900, 700, 100, 100, 8
1000, 700, 100, 100, 8
0, 800, 100, 100, 8
100, 800, 100, 100, 8
200, 800, 100, 100, 8
300, 800, 100, 100, 8
400, 800, 100, 100, 8
500, 800, 100, 100, 8
600, 800, 100, 100, 8
700, 800, 100, 100, 8
800, 800, 100, 100, 8
900, 800, 100, 100, 8
1000, 800, 100, 100, 8


#, bottom border
0, 1900, 9000, 100, 9
#, top border
0, 0, 9000, 100, 9
#, right border
8900, 100, 100, 1800, 9

