#, top
0,0,1800,100,5
#, 2
0,100,900,100,5
1100,100,900,100,5
#,3
0,200,700,100,5
1300,200,500,100,5
#, 4
0,300,800,100,5
1200,300,200,100,5
1600,300,400,100,5
#, 5
0,400,400,100,5
600,400,200,100,5
1600,400,400,100,5
#, 6
0,500,300,100,5
1500,500,300,100,5
#,7
0,600,200,100,5
1400,600,400,100,5
#,8
0,700,200,100,5
1500,700,300,100,5
#,12
0,1100,200,100,5
1500,1100,300,100,5
#,13
0,1200,200,100,5
1500,1200,300,100,5
#,14
0,1300,200,100,5
1500,1300,300,100,5
#, 18
0,1700,200,100,5
1500,1700,300,100,5
#, 19
0,1800,400,100,5
1300,1800,500,100,5
#, 20
0,1900,600,100,5
1100,1900,700,100,5
#,21
0,2000,800,100,5
1100,2000,900,100,5
#,22
0,2100,700,100,5
1000,2100,900,100,5
#,23
0,2200,1700,100,5



0,800,300,100,5
0,900,300,100,5
0,1000,300,100,5
1400,800,300,100,5
1400,900,300,100,5
1400,1000,300,100,5


#, bottom
0,1600,1700,100,5
0,1700,1700,100,5
0,1800,1700,100,5

1400,1400,300,100,5
0,1400,300,100,5
1300,1500,400,100,5
0,1500,400,100,5

